Genus,Aero,SporeForming
Gemella,Facultative Anaerobic,No
Staphylococcus,Facultative Anaerobic,No
Jeotgalicoccus,Aerobic,No
Corticicoccus,Aerobic,No
Salinicoccus,Aerobic,No
Bhargavaea,Aerobic,No
Ammoniphilus,Aerobic,No
Oxalophagus,Aerobic,No
Brevibacillus,Aerobic,Yes
Cohnella,Aerobic,Yes
Thermobacillus,Aerobic,Yes
Paenibacillus,Aerobic,Yes
Saccharibacillus,Aerobic,Yes
Pasteuria,Aerobic,No
Baia,Aerobic,No
Gallicola,Aerobic,No
Anaerococcus,Anaerobic,No
Peptoniphilus,Anaerobic,No
Tissierella,Anaerobic,No
Gottschalkia,Anaerobic,No
Clostridiisalibacter,Anaerobic,Yes
Sedimentibacter,Anaerobic,No
Family XIII UCG-001,Anaerobic,No
Anaerovorax,Anaerobic,No
[Eubacterium] nodatum group,Anaerobic,No
Family XIII AD3011 group,Anaerobic,No
[Eubacterium] brachy group,Anaerobic,No
Anaerosolibacter,Anaerobic,No
Sporacetigenium,Anaerobic,Yes
Clostridioides,Anaerobic,Yes
Intestinibacter,Anaerobic,No
Peptoclostridium,Anaerobic,Yes
Terrisporobacter,Anaerobic,Yes
Romboutsia,Anaerobic,Yes
Paraclostridium,Anaerobic,Yes
Paeniclostridium,Anaerobic,Yes
Proteiniborus,Anaerobic,Yes
Alkaliphilus,Aerobic,No
Ruminococcaceae UCG-014,Anaerobic,No
Acholeplasma,Facultative Anaerobic,No
Uncultured Firmicutes bacterium,Variable,Variable
Uncultured Erysipelotrichia bacterium,Facultative Anaerobic,No
Uncultured Erysipelotrichaceae bacterium,Facultative Anaerobic,No
Candidatus Dichloromethanomonas,Anaerobic,No
Defluviitaleaceae UCG-011,Anaerobic,No
Christensenellaceae R-7 group,Anaerobic,No
Christensenella,Anaerobic,No
Catabacter,Anaerobic,No
Candidatus Arthromitus,Unknown,Unknown
Clostridium sensu stricto 12,Anaerobic,Yes
Clostridium sensu stricto 10,Anaerobic,Yes
Hathewaya,Anaerobic,Yes
Clostridium sensu stricto 13,Anaerobic,Yes
Clostridium sensu stricto 18,Anaerobic,Yes
Clostridium sensu stricto 11,Anaerobic,Yes
Clostridium sensu stricto 2,Anaerobic,Yes
Clostridium sensu stricto 6,Anaerobic,Yes
Sarcina,Facultative Anaerobic,Yes
Clostridium sensu stricto 5,Anaerobic,Yes
Clostridium sensu stricto 1,Anaerobic,Yes
Clostridium sensu stricto 8,Anaerobic,Yes
Clostridium sensu stricto 3,Anaerobic,Yes
Fonticella,Anaerobic,Yes
Lutispora,Anaerobic,Yes
Uncultured prokaryote,Variable,Variable
Cellulosilyticum,Anaerobic,No
Tyzzerella 3,Anaerobic,No
Tyzzerella,Anaerobic,No
Lachnospiraceae UCG-010,Anaerobic,No
Epulopiscium,Anaerobic,No
Mobilitalea,Anaerobic,No
Lachnoclostridium 12,Anaerobic,Yes
Anaerobium,Anaerobic,No
[Eubacterium] xylanophilum group,Anaerobic,No
Herbinix,Anaerobic,No
Lachnospira,Anaerobic,No
Lachnoclostridium 10,Anaerobic,Yes
Anaerosporobacter,Anaerobic,Yes
Anaerostipes,Anaerobic,No
Lachnotalea,Anaerobic,No
GCA-900066575,Anaerobic,No
Lachnospiraceae UCG-008,Anaerobic,No
Roseburia,Anaerobic,No
A2,Anaerobic,No
Lachnospiraceae UCG-007,Anaerobic,No
Eisenbergiella,Anaerobic,No
Lachnospiraceae UCG-009,Anaerobic,No
Anaerocolumna,Anaerobic,No
Hungatella,Anaerobic,No
Lachnospiraceae NK4A136 group,Anaerobic,No
Lachnoclostridium,Anaerobic,Yes
Coprococcus 3,Anaerobic,No
Lactonifactor,Anaerobic,No
Tyzzerella 4,Anaerobic,No
[Eubacterium] fissicatena group,Anaerobic,No
Lachnospiraceae UCG-006,Anaerobic,No
[Ruminococcus] torques group,Anaerobic,No
Robinsoniella,Anaerobic,No
Dorea,Anaerobic,No
Moryella,Anaerobic,No
Blautia,Anaerobic,No
Murimonas,Anaerobic,No
Marvinbryantia,Anaerobic,No
Sellimonas,Anaerobic,No
Incertae Sedis,Variable,Variable
Lachnoclostridium 5,Anaerobic,Yes
Ruminococcaceae UCG-010,Anaerobic,No
Candidatus Soleaferrea,Anaerobic,No
Ruminococcus 1,Anaerobic,No
Ruminiclostridium,Anaerobic,Yes
GCA-900066225,Anaerobic,No
Subdoligranulum,Anaerobic,No
UBA1819,Anaerobic,No
Fournierella,Anaerobic,No
Pygmaiobacter,Anaerobic,No
Anaerofilum,Anaerobic,No
Hydrogenoanaerobacterium,Anaerobic,No
Anaerotruncus,Anaerobic,No
[Eubacterium] coprostanoligenes group,Anaerobic,No
Caproiciproducens,Anaerobic,No
DTU089,Anaerobic,No
Ruminiclostridium 5,Anaerobic,Yes
Ruminiclostridium 1,Anaerobic,Yes
Papillibacter,Anaerobic,No
Ruminococcaceae UCG-005,Anaerobic,No
Oscillibacter,Anaerobic,No
Ruminococcaceae NK4A214 group,Anaerobic,No
Intestinimonas,Anaerobic,No
Ruminiclostridium 9,Anaerobic,Yes
Ruminococcaceae V9D2013 group,Anaerobic,No
Butyricicoccus,Anaerobic,No
Ruminococcaceae UCG-008,Anaerobic,No
Ruminococcaceae UCG-009,Anaerobic,No
Ruminococcaceae UCG-013,Anaerobic,No
Ruminococcaceae UCG-012,Anaerobic,No
Hydrogenispora,Anaerobic,No
Acidaminococcus,Anaerobic,No
Phascolarctobacterium,Anaerobic,No
Megamonas,Anaerobic,No
Anaerovibrio,Anaerobic,No
Anaerosinus,Anaerobic,No
Veillonella,Anaerobic,No
Negativicoccus,Anaerobic,No
Sporomusa,Anaerobic,No
Dendrosporobacter,Anaerobic,Yes
Peptococcus,Anaerobic,No
Desulfotomaculum,Anaerobic,Yes
JdFR-76,Unknown,Unknown
IheB3-7,Unknown,Unknown
Uncultured Ignavibacterium sp.,Anaerobic,No
Aliifodinibius,Anaerobic,No
Rubrivirga,Anaerobic,No
Longimonas,Anaerobic,No
Eubacterium,Anaerobic,No
Anaerofustis,Anaerobic,No
Tumebacillus,Aerobic,Yes
Nitrospira,Aerobic,No
Candidatus Rokubacteria bacterium CSP1-6,Unknown,Unknown
Uncultured candidate division SPAM bacterium,Unknown,Unknown
Telmatocola,Aerobic,No
Gemmata,Aerobic,No
Fimbriiglobus,Aerobic,No
Zavarzinella,Aerobic,No
Singulisphaera,Aerobic,No
Isosphaera,Aerobic,No
Paludisphaera,Aerobic,No
Aquisphaera,Aerobic,No
Gloeocapsa PCC-7428,Aerobic,No
p-1088-a5 gut group,Anaerobic,No
Termite planctomycete cluster,Unknown,Unknown
CPla-4 termite group,Unknown,Unknown
Pir3 lineage,Aerobic,No
Rhodopirellula,Aerobic,No
Rubripirellula,Aerobic,No
Roseimaritima,Aerobic,No
Blastopirellula,Aerobic,No
Pirellula,Aerobic,No
Candidatus Anammoximicrobium,Anaerobic,No
Bythopirellula,Aerobic,No
Pir4 lineage,Aerobic,No
Schlesneria,Aerobic,No
Gimesia,Aerobic,No
Planctopirus,Aerobic,No
SH-PL14,Unknown,Unknown
Planctomicrobium,Aerobic,No
Planctomycetaceae bacterium Bac131,Unknown,No
Uncultured Planctomyces sp.,Aerobic,No
Rubinisphaera,Aerobic,No
bacterium WX65,Unknown,Unknown
Uncultured Acidobacteria bacterium,Variable,No
Stenotrophobacter,Aerobic,No
Aridibacter,Aerobic,No
Blastocatella,Aerobic,No
OLB17,Unknown,Unknown
JGI 0001001-H03,Unknown,Unknown
RB41,Unknown,Unknown
Uncultured Acidobacterium sp.,Variable,No
Uncultured Acidobacteriales bacterium,Variable,No
Uncultured verrucomicrobium DEV059,Unknown,Unknown
ADurb.Bin063-1,Unknown,Unknown
SCGC AAA164-E04,Unknown,Unknown
Terrimicrobium,Aerobic,No
Candidatus Udaeobacter,Unknown,Unknown
Candidatus Xiphinematobacter,Unknown,Unknown
LD29,Unknown,Unknown
Chthoniobacter,Aerobic,No
Roseimicrobium,Aerobic,No
Verrucomicrobium,Aerobic,No
Akkermansia,Anaerobic,No
Prosthecobacter,Aerobic,No
Haloferula,Aerobic,No
Luteolibacter,Aerobic,No
Roseibacillus,Aerobic,Yes
Uncultured bacterium gp6,Unknown,Unknown
Uncultured proteobacterium,Variable,Variable
Uncultured beta proteobacterium,Variable,No
Uncultured Holophagae bacterium,Anaerobic,No
Uncultured Saccharibacillus sp.,Aerobic,Yes
Vicinamibacter,Aerobic,No
Uncultured bacterium 259,Unknown,Unknown
Uncultured Anaeromyxobacter sp.,Aerobic,No
Uncultured Holophaga sp.,Anaerobic,No
Luteitalea,Aerobic,No
Uncultured microorganism,Variable,Variable
Uncultured Telmatobacter sp.,Anaerobic,No
Uncultured Desulfocaldus sp.,Anaerobic,No
Uncultured forest soil bacterium,Variable,Variable
Subgroup 10,Unknown,Unknown
Uncultured Desulfuromonadales bacterium,Anaerobic,No
Gemmatirosa,Aerobic,No
Gemmatimonas,Aerobic,No
Longimicrobium,Aerobic,No
Uncultured Chitinivibrionia bacterium,Aerobic,No
Uncultured Gemmatimonadetes bacterium,Aerobic,No
Candidatus Entotheonella,Unknown,Unknown
Elusimicrobium,Aerobic,No
Candidatus Solibacter,Aerobic,No
Paludibaculum,Aerobic,No
Bryobacter,Aerobic,No
Candidatus Koribacter,Aerobic,No
Granulicella,Aerobic,No
Chroococcidiopsis PCC 7203,Aerobic,No
Chthonomonas,Aerobic,No
Uncultured actinobacterium,Variable,Variable
Uncultured Armatimonadetes bacterium,Aerobic,No
Motilibacter,Aerobic,No
Streptomyces,Aerobic,Yes
Pseudokineococcus,Aerobic,No
Haloactinopolyspora,Aerobic,No
Jiangella,Aerobic,No
Gardnerella,Anaerobic,No
Bifidobacterium,Anaerobic,No
Aquipuribacter,Aerobic,No
Actinopolyspora,Aerobic,No
Actinoalloteichus,Aerobic,No
Cryptosporangium,Aerobic,No
Fodinicola,Aerobic,No
Nakamurella,Aerobic,No
Uncultured Frankineae bacterium,Aerobic,No
Quadrisphaera,Aerobic,No
Georgenia,Aerobic,No
Angustibacter,Anaerobic,No
Kineosporia,Aerobic,No
Kineococcus,Aerobic,No
Jatrophihabitans,Aerobic,No
Segniliparus,Aerobic,No
Corynebacterium 1,Facultative Anaerobic,No
Corynebacterium,Facultative Anaerobic,No
Hoyosella,Aerobic,No
Smaragdicoccus,Aerobic,No
Mycobacterium,Aerobic,No
Tomitella,Aerobic,No
Rhodococcus,Aerobic,No
Nocardia,Aerobic,No
Skermania,Aerobic,No
Tsukamurella,Aerobic,No
Dietzia,Aerobic,No
Lawsonella,Aerobic,No
Gordonia,Aerobic,No
Williamsia,Aerobic,No
Modestobacter,Aerobic,No
Geodermatophilus,Aerobic,No
Blastococcus,Aerobic,No
Crossiella,Aerobic,No
Antricoccus,Aerobic,No
Actinotalea,Aerobic,No
Cellulomonas,Aerobic,No
Sanguibacter,Aerobic,No
Ruania,Aerobic,No
Cellulosimicrobium,Aerobic,No
Isoptericola,Aerobic,No
Serinibacter,Aerobic,No
Salana,Aerobic,No
Miniimonas,Aerobic,No
Rathayibacter,Aerobic,No
Gryllotalpicola,Aerobic,No
Humibacter,Aerobic,No
Agromyces,Aerobic,No
Amnibacterium,Aerobic,No
Curtobacterium,Aerobic,No
Agrococcus,Aerobic,No
Leifsonia,Aerobic,No
Microbacterium,Aerobic,No
Mycetocola,Aerobic,No
Gulosibacter,Aerobic,No
Pseudoclavibacter,Aerobic,No
Bogoriella,Aerobic,No
Leucobacter,Aerobic,No
Galbitalea,Aerobic,No
Frigoribacterium,Aerobic,No
Pseudactinotalea,Aerobic,No
Haloactinobacterium,Aerobic,No
Huakuichenia,Aerobic,No
Lysinimicrobium,Aerobic,No
Demequina,Aerobic,No
Sediminivirga,Aerobic,No
Brevibacterium,Aerobic,No
Virgisporangium,Aerobic,No
Hamadaea,Aerobic,No
Rhizocola,Aerobic,No
Actinoplanes,Aerobic,No
Catellatospora,Aerobic,No
Micromonospora,Aerobic,No
Phytohabitans,Aerobic,No
Luedemannella,Aerobic,No
Dactylosporangium,Aerobic,No
Asanoa,Aerobic,No
Longispora,Aerobic,No
Sporichthya,Aerobic,No
Actinospica,Aerobic,No
Dermacoccus,Aerobic,No
Tetrasphaera,Aerobic,No
Phycicoccus,Aerobic,No
Mobilicoccus,Aerobic,No
Arsenicicoccus,Aerobic,No
Dermatophilus,Aerobic,No
Ornithinimicrobium,Aerobic,No
Ornithinicoccus,Aerobic,No
Flexivirga,Aerobic,No
Brachybacterium,Aerobic,No
Promicromonospora,Aerobic,No
Rothia,Aerobic,No
Nesterenkonia,Aerobic,No
Enteractinococcus,Facultative Anaerobic,No
Sinomonas,Aerobic,No
Kocuria,Aerobic,No
Timonella,Aerobic,No
Glutamicibacter,Aerobic,No
Arthrobacter,Aerobic,No
Haematomicrobium,Aerobic,No
Jonesia,Aerobic,No
Actinomyces,Anaerobic,No
Actinokineospora,Aerobic,No
Actinophytocola,Aerobic,No
Sciscionella,Aerobic,No
Lechevalieria,Aerobic,No
Saccharothrix,Aerobic,No
Amycolatopsis,Aerobic,No
Kibdelosporangium,Aerobic,No
Pseudonocardia,Aerobic,No
Prauserella,Aerobic,No
Actinomycetospora,Aerobic,No
Saccharopolyspora,Aerobic,No
Stackebrandtia,Aerobic,No
Glycomyces,Aerobic,No
Actinocatenispora,Aerobic,No
Chlorogloeopsis PCC-7518,Aerobic,No
Streptosporangium,Aerobic,No
Actinomadura,Aerobic,No
Actinocorallia,Aerobic,No
Mastigocladopsis PCC-10914,Aerobic,No
Sphaerisporangium,Aerobic,No
Nonomuraea,Aerobic,No
Actinoallomurus,Aerobic,No
Marinilutecoccus,Aerobic,No
Luteococcus,Aerobic,No
Propioniciclava,Aerobic,No
Friedmanniella,Aerobic,No
Microlunatus,Aerobic,No
Micropruina,Aerobic,No
Propionicicella,Aerobic,No
Cutibacterium,Facultative Anaerobic,No
Acidipropionibacterium,Anaerobic,No
Tessaracoccus,Aerobic,No
Pseudopropionibacterium,Aerobic,No
Aestuariimicrobium,Aerobic,No
Brooklawnia,Aerobic,No
Mumia,Aerobic,No
Aeromicrobium,Aerobic,No
Marmoricola,Aerobic,No
Nocardioides,Aerobic,No
Kribbella,Aerobic,No
Actinopolymorpha,Aerobic,No
Flindersiella,Aerobic,No
Nocardiopsis,Aerobic,No
Haloactinospora,Aerobic,No
Uncultured Actinomycetales bacterium,Variable,Variable
Ilumatobacter,Aerobic,No
CL500-29 marine group,Unknown,Unknown
Sva0996 marine group,Unknown,Unknown
bacterium YC-ZSS-LKJ66,Unknown,Unknown
Uncultured Acidimicrobidae bacterium,Aerobic,No
IMCC26207,Unknown,Unknown
actinobacterium BGR 88,Unknown,Unknown
Iamia,Aerobic,No
Candidatus Actinomarina,Unknown,Unknown
Euzebya,Aerobic,No
Armatimonas,Aerobic,No
Gaiella sp. EBR4-RS1,Aerobic,No
Solirubrobacter,Aerobic,No
Patulibacter,Aerobic,No
Uncultured Rubrobacteraceae bacterium,Aerobic,No
bacterium YC-ZSS-LKJ159,Unknown,Unknown
Uncultured Rubrobacteria bacterium,Aerobic,No
Conexibacter,Aerobic,No
Parviterribacter,Aerobic,No
JCM 18997,Unknown,Unknown
Gaiella,Aerobic,No
Uncultured Rubrobacterales bacterium,Aerobic,No
Uncultured Solirubrobacter sp.,Aerobic,No
Rubrobacter,Aerobic,No
Raoultibacter,Aerobic,No
Eggerthella,Anaerobic,No
Slackia,Aerobic,No
Paraeggerthella,Anaerobic,No
CHKCI002,Unknown,Unknown
Enterorhabdus,Anaerobic,No
Gordonibacter,Aerobic,No
Atopobium,Anaerobic,No
Coriobacteriaceae UCG-002,Anaerobic,No
Collinsella,Anaerobic,No
Nitriliruptor,Aerobic,No
Uncultured candidate division SAM bacterium,Unknown,Unknown
bacterium Ellin6529,Unknown,Unknown
Nostoc PCC-73102,Aerobic,No
bacterium Ellin6543,Unknown,Unknown
Uncultured Dehalococcoidia bacterium,Anaerobic,No
Tolypothrix PCC-7601,Aerobic,No
Uncultured Caldilineaceae bacterium,Unknown,Unknown
Uncultured Caldilineae bacterium,Unknown,Unknown
Uncultured Litorilinea sp.,Aerobic,No
Litorilinea,Aerobic,No
Uncultured sludge bacterium H5,Unknown,Unknown
Uncultured Anaerolineae bacterium,Anaerobic,No
OLB13,Unknown,Unknown
Uncultured Anaerolineaceae bacterium,Anaerobic,No
Uncultured sludge bacterium S14,Unknown,Unknown
OLB15,Unknown,Unknown
Uncultured endolithic bacterium,Variable,Variable
Scytonema UTEX 2349,Aerobic,No
Scytonema VB-61278,Aerobic,No
Scytonema PCC-7110,Aerobic,No
Synechococcus PCC-7902,Aerobic,No
Synechococcus CC9902,Aerobic,No
FFCH7168,Unknown,Unknown
Cyanobium PCC-6307,Aerobic,No
Uncultured Thermomicrobia bacterium,Unknown,Unknown
bacterium Ellin6537,Unknown,Unknown
Paraburkholderia tropica,Aerobic,No
Uncultured anaerobic ammonium-oxidizing bacterium,Anaerobic,No
Nitrolancea,Aerobic,No
Sphaerobacter,Aerobic,No
Uncultured Sphaerobacter sp.,Aerobic,No
Candidatus Tremblaya,Unknown,Unknown
Uncultured candidate division SBR1093 bacterium,Unknown,Unknown
EcFYyy-200,Unknown,Unknown
Chroococcidiopsis PCC-6712,Aerobic,No
Symplocastrum CPER-KK1,Aerobic,No
Loriellopsis LF-B5,Aerobic,No
Synechococcus IR11,Aerobic,No
Phormidium IAM M-71,Aerobic,No
Synechocystis BDHKU-20401,Aerobic,No
Xenococcus CRM,Aerobic,No
Stanieria PCC-7437,Aerobic,No
Foliisarcina CENA333,Aerobic,No
Myxosarcina GI1,Aerobic,No
Pleurocapsa PCC-7319,Aerobic,No
Leptolyngbya PCC-6306,Aerobic,No
Leptolyngbya Es-Yyy1000,Aerobic,No
Chalicogloea CCALA 975,Aerobic,No
Pleurocapsa PCC-7327,Aerobic,No
Herbaspirillum,Aerobic,No
Noviherbaspirillum,Aerobic,No
Arcobacter,Aerobic,No
Campylobacter,Aerobic,No
Helicobacter,Aerobic,No
Azospirillum,Aerobic,No
Acidiphilium,Aerobic,No
Acidicaldus,Aerobic,No
Spirochaeta 2,Anaerobic,No
Treponema,Anaerobic,No
Termite Treponema cluster,Anaerobic,No
Mucispirillum,Anaerobic,No
Candidatus Nostocoida,Anaerobic,No
MIZ36,Unknown,Unknown
Uncultured Chloroflexi bacterium,Anaerobic,No
Chloroflexi bacterium JEA33,Anaerobic,No
Uncultured Chloroflexus sp.,Anaerobic,No
Uncultured rumen bacterium,Variable,Variable
Uncultured bacterium mle1-12,Unknown,Unknown
Kouleothrix,Anaerobic,No
OM27 clade,Unknown,Unknown
Uncultured bacterium SJP-3,Unknown,Unknown
Victivallis,Aerobic,No
Candidatus Omnitrophus,Unknown,Unknown
Uncultured Roseobacter sp.,Aerobic,No
Uncultured Syntrophobacteraceae bacterium,Anaerobic,No
bacterium enrichment culture clone auto112_4W,Unknown,Unknown
Thiobaca,Aerobic,No
Roseiflexus,Anaerobic,No
Chloronema,Anaerobic,No
Candidatus Competibacter,Unknown,Unknown
Fontimonas,Aerobic,No
Panacagrimonas,Aerobic,No
Salinisphaera,Aerobic,No
Candidatus Berkiella,Unknown,Unknown
Coxiella,Aerobic,No
Aquicella,Aerobic,No
