Genus,Oxygen,SporeForming
Myxococcus, Aerobic, No
Myxosarcina GI1, Aerobic, No
Nitrosococcus, Aerobic, No
Nitrosomonas, Aerobic, No
Noviherbaspirillum, Aerobic, No
Oceanimonas, Aerobic, No
Oceanisphaera, Aerobic, No
Oligoflexus, Aerobic, No
Oxalobacter, Aerobic, No
Panacagrimonas, Aerobic, No
Pandoraea, Aerobic, No
Phormidium IAM M-71, Aerobic, No
Pleurocapsa PCC-7319, Aerobic, No
Pleurocapsa PCC-7327, Aerobic, No
Polyangium, Aerobic, No
Pseudoalteromonas, Aerobic, No
Pseudomonas, Aerobic, No
Pseudoxanthomonas, Aerobic, No
Psychrobacter, Aerobic, No
Psychromonas, Aerobic, No
Ralstonia, Aerobic, No
Rheinheimera, Aerobic, No
Rhizobacter, Aerobic, No
Rhodanobacter, Aerobic, No
Rickettsiella, Aerobic, No
Roseomonas, Aerobic, No
Salinicola, Aerobic, No
Salinisphaera, Aerobic, No
SAR92 clade, Aerobic, No
Scytonema PCC-7110, Aerobic, No
Scytonema UTEX 2349, Aerobic, No
Scytonema VB-61278, Aerobic, No
Sinobacterium, Aerobic, No
Sorangium, Aerobic, No
Stanieria PCC-7437, Aerobic, No
Stenotrophomonas, Aerobic, No
Symplocastrum CPER-KK1, Aerobic, No
Synechococcus CC9902, Aerobic, No
Synechococcus IR11, Aerobic, No
Synechococcus PCC-7902, Aerobic, No
Synechocystis BDHKU-20401, Aerobic, No
Thermomonas, Aerobic, No
Thiobaca, Aerobic, No
Thiothrix, Aerobic, No
Tolypothrix PCC-7601, Aerobic, No
Trabulsiella, Aerobic, No
Variovorax, Aerobic, No
Vitreoscilla, Aerobic, No
Woeseia, Aerobic, No
Wohlfahrtiimonas, Aerobic, No
Xanthomonas, Aerobic, No
Xenococcus CRM, Aerobic, No
Xylella, Aerobic, No
Alishewanella, Anaerobic, No
Alkanindiges, Anaerobic, No
Allochromatium, Anaerobic, No
Anaeromyxobacter, Anaerobic, No
Azoarcus, Anaerobic, No
Azospira, Anaerobic, No
BD1-7 clade, Anaerobic, No
Bilophila, Anaerobic, No
Candidatus Berkiella, Anaerobic, No
Candidatus Competibacter, Anaerobic, No
Candidatus Omnitrophus, Anaerobic, No
Candidatus Ovatusbacter, Anaerobic, No
Candidatus Tenderia, Anaerobic, No
Castellaniella, Anaerobic, No
Constrictibacter, Anaerobic, No
Dechloromonas, Anaerobic, No
Defluviicoccus, Anaerobic, No
Desulfatiferula, Anaerobic, No
Desulfovibrio, Anaerobic, No
Dokdonella, Anaerobic, No
Eikenella, Anaerobic, No
Ferrovibrio, Anaerobic, No
Gilliamella, Anaerobic, No
Halobacteriovorax, Anaerobic, No
Halodesulfovibrio, Anaerobic, No
Ignatzschineria, Anaerobic, No
JTB255 marine benthic group, Anaerobic, No
Kushneria, Anaerobic, No
Lautropia, Anaerobic, No
Limibacillus, Anaerobic, No
Mangrovibacter, Anaerobic, No
Methyloversatilis, Anaerobic, No
OM27 clade, Anaerobic, No
OM60(NOR5) clade, Anaerobic, No
Pajaroellobacter, Anaerobic, No
Pararhodospirillum, Anaerobic, No
Parasutterella, Anaerobic, No
Ramlibacter, Anaerobic, No
Sandaracinus, Anaerobic, No
Silvanigrella, Anaerobic, No
Snodgrassella, Anaerobic, No
Sodalis, Anaerobic, No
Steroidobacter, Anaerobic, No
Sulfurovum, Anaerobic, No
Sutterella, Anaerobic, No
Suttonella, Anaerobic, No
Syntrophobacter, Anaerobic, No
Tahibacter, Anaerobic, No
Tepidimonas, Anaerobic, No
Thauera, Anaerobic, No
Thiodictyon, Anaerobic, No
Uliginosibacterium, Anaerobic, No
Victivallis, Anaerobic, No
Xenorhabdus, Anaerobic, No
Zymobacter, Anaerobic, No
Actinobacillus, Facultatively anaerobic, No
Aeromonas, Facultatively anaerobic, No
Enterovibrio, Facultatively anaerobic, No
Escherichia-Shigella, Facultatively anaerobic, No
Haemophilus, Facultatively anaerobic, No
Morganella, Facultatively anaerobic, No
Pantoea, Facultatively anaerobic, No
Pectobacterium, Facultatively anaerobic, No
Photobacterium, Facultatively anaerobic, No
Proteus, Facultatively anaerobic, No
Providencia, Facultatively anaerobic, No
Serratia, Facultatively anaerobic, No
Shewanella, Facultatively anaerobic, No
Vibrio, Facultatively anaerobic, No
Campylobacter, Microaerophilic, No
Helicobacter, Microaerophilic, No
Adhaeribacter,Aerobic, No
Aequorivita,Aerobic, No
Aerosphaera,Aerobic, No
Algoriphagus,Aerobic, No
Anthococcus,Aerobic, No
Arcticibacter,Aerobic, No
Carnobacterium,Aerobic, No
Catellicoccus,Aerobic, No
Chitinophaga,Aerobic, No
Chryseobacterium,Aerobic, No
Chryseolinea,Aerobic, No
Cnuella,Aerobic, No
Crocinitomix,Aerobic, No
Cryomorpha,Aerobic, No
Cytophaga,Aerobic, No
Deinococcus,Aerobic, No
Dinghuibacter,Aerobic, No
Dyadobacter,Aerobic, No
Empedobacter,Aerobic, No
Emticicia,Aerobic, No
Erysipelothrix,Aerobic, No
Ferruginibacter,Aerobic, No
Fibrella,Aerobic, No
Filimonas,Aerobic, No
Flavihumibacter,Aerobic, No
Flavimarina,Aerobic, No
Flavisolibacter,Aerobic, No
Flavitalea,Aerobic, No
Flavobacterium,Aerobic, No
Flectobacillus,Aerobic, No
Flexibacter,Aerobic, No
Fluviicola,Aerobic, No
Formosa,Aerobic, No
Fructobacillus,Aerobic, No
Galbibacter,Aerobic, No
Gelidibacter,Aerobic, No
Gemella,Aerobic, No
Gramella,Aerobic, No
Haoranjiania,Aerobic, No
Hymenobacter,Aerobic, No
Jeotgalicoccus,Aerobic, No
Lacticigenium,Aerobic, No
Lactobacillus,Aerobic, No
Lactococcus,Aerobic, No
Lactovum,Aerobic, No
Larkinella,Aerobic, No
Leadbetterella,Aerobic, No
Leuconostoc,Aerobic, No
Lewinella,Aerobic, No
Maritimimonas,Aerobic, No
Meiothermus,Aerobic, No
Mucilaginibacter,Aerobic, No
Muricauda,Aerobic, No
Myroides,Aerobic, No
Niabella,Aerobic, No
Niastella,Aerobic, No
Nonlabens,Aerobic, No
Ohtaekwangia,Aerobic, No
Parafilimonas,Aerobic, No
Parapedobacter,Aerobic, No
Pediococcus,Aerobic, No
Pedobacter,Aerobic, No
Persicitalea,Aerobic, No
Pricia,Aerobic, No
Pseudoflavitalea,Aerobic, No
Rhodocytophaga,Aerobic, No
Robertkochia,Aerobic, No
Robiginitalea,Aerobic, No
Salinicoccus,Aerobic, No
Sediminibacterium,Aerobic, No
Segetibacter,Aerobic, No
Sphingobacterium,Aerobic, No
Spirosoma,Aerobic, No
Sporocytophaga,Aerobic, No
Staphylococcus,Aerobic, No
Streptococcus,Aerobic, No
Taibaiella,Aerobic, No
Terrimonas,Aerobic, No
Thermus,Aerobic, No
Truepera,Aerobic, No
Tunicatimonas,Aerobic, No
Vitellibacter,Aerobic, No
Weissella,Aerobic, No
Zeaxanthinibacter,Aerobic, No
Alloprevotella,Anaerobic, No
Anaerobiospirillum,Anaerobic, No
Bacteroides,Anaerobic, No
Blattabacterium,Anaerobic, No
Brachyspira,Anaerobic, No
Butyricimonas,Anaerobic, No
Candidatus Sulcia,Anaerobic, No
Candidatus Uzinura,Anaerobic, No
Cetobacterium,Anaerobic, No
Cloacibacillus,Anaerobic, No
Dysgonomonas,Anaerobic, No
Faecalitalea,Anaerobic, No
Fermentimonas,Anaerobic, No
Fusobacterium,Anaerobic, No
Holdemania,Anaerobic, No
Moheibacter,Anaerobic, No
Mucispirillum,Anaerobic, No
Muribaculum,Anaerobic, No
Odoribacter,Anaerobic, No
Paludibacter,Anaerobic, No
Parabacteroides,Anaerobic, No
Peptoniphilus,Anaerobic, No
Porphyromonas,Anaerobic, No
Prevotellaceae UCG-001,Anaerobic, No
Proteiniphilum,Anaerobic, No
Pyramidobacter,Anaerobic, No
Sanguibacteroides,Anaerobic, No
Sebaldella,Anaerobic, No
Tissierella,Anaerobic, No
Treponema,Anaerobic, No
Tyzzerella,Anaerobic, No
Nostoc PCC-73102, Aerobic,No
Anoxybacillus,Aerobic, Yes
Geobacillus,Aerobic, Yes
Terribacillus,Aerobic, Yes
Virgibacillus,Aerobic, Yes
Cellulosilyticum,Anaerobic, Yes
Clostridiisalibacter,Anaerobic, Yes
Clostridium sensu stricto,Anaerobic, Yes
Gottschalkia,Anaerobic, Yes
Hathewaya,Anaerobic, Yes
Sedimentibacter,Anaerobic, Yes
Terrisporobacter,Anaerobic, Yes
Aeromicrobium,Aerobic,No
Agrococcus,Aerobic,No
Agromyces,Aerobic,No
Angustibacter,Aerobic,No
Arthrobacter,Aerobic,No
Cellulomonas,Aerobic,No
Cellulosimicrobium,Aerobic,No
Corynebacterium,Aerobic,No
Corynebacterium 1,Aerobic,No
Curtobacterium,Aerobic,No
Demequina,Aerobic,No
Dermacoccus,Aerobic,No
Dermatophilus,Aerobic,No
Frigoribacterium,Aerobic,No
Gordonia,Aerobic,No
Isoptericola,Aerobic,No
Kocuria,Aerobic,No
Leifsonia,Aerobic,No
Luedemannella,Aerobic,No
Marinilutecoccus,Aerobic,No
Microbacterium,Aerobic,No
Mycetocola,Aerobic,No
Mycobacterium,Aerobic,No
Nakamurella,Aerobic,No
Nesterenkonia,Aerobic,No
Nitrospira,Aerobic,No
Nocardia,Aerobic,No
Paraburkholderia tropica,Aerobic,No
Phytohabitans,Aerobic,No
Promicromonospora,Aerobic,No
Rhodococcus,Aerobic,No
Rothia,Aerobic,No
Stenotrophobacter,Aerobic,No
[Eubacterium] coprostanoligenes group,Anaerobic,No
[Eubacterium] fissicatena group,Anaerobic,No
[Eubacterium] xylanophilum,Anaerobic,No
[Ruminococcus] torques group,Anaerobic,No
Acidaminococcus,Anaerobic,No
Actinocorallia,Anaerobic,No
Actinomyces,Anaerobic,No
Actinophytocola,Anaerobic,No
Actinotalea,Anaerobic,No
Aestuariimicrobium,Anaerobic,No
Akkermansia,Anaerobic,No
Amnibacterium,Anaerobic,No
Anaerocolumna,Anaerobic,No
Anaerofustis,Anaerobic,No
Anaerosinus,Anaerobic,No
Anaerostipes,Anaerobic,No
Anaerovibrio,Anaerobic,No
Antricoccus,Anaerobic,No
Aquipuribacter,Anaerobic,No
Arsenicicoccus,Anaerobic,No
Asanoa,Anaerobic,No
Atopobium,Anaerobic,No
Bifidobacterium,Anaerobic,No
Blastocatella,Anaerobic,No
Blastococcus,Anaerobic,No
Blastopirellula,Anaerobic,No
Blautia,Anaerobic,No
Bogoriella,Anaerobic,No
Brachybacterium,Anaerobic,No
Brooklawnia,Anaerobic,No
Bryobacter,Anaerobic,No
Butyricicoccus,Anaerobic,No
Bythopirellula,Anaerobic,No
Caproiciproducens,Anaerobic,No
Chthoniobacter,Anaerobic,No
Chthonomonas,Anaerobic,No
Collinsella,Anaerobic,No
Coprococcus 3,Anaerobic,No
Coriobacteriaceae UCG-002,Anaerobic,No
Crossiella,Anaerobic,No
Cutibacterium,Anaerobic,No
Dendrosporobacter,Anaerobic,No
Dorea,Anaerobic,No
Eggerthella,Anaerobic,No
Eisenbergiella,Anaerobic,No
Elusimicrobium,Anaerobic,No
Enteractinococcus,Anaerobic,No
Enterorhabdus,Anaerobic,No
Eubacterium,Anaerobic,No
Fimbriiglobus,Anaerobic,No
Flexivirga,Anaerobic,No
Flindersiella,Anaerobic,No
Fodinicola,Anaerobic,No
Friedmanniella,Anaerobic,No
Galbitalea,Anaerobic,No
Gardnerella,Anaerobic,No
Gemmata,Anaerobic,No
Gemmatimonas,Anaerobic,No
Gemmatirosa,Anaerobic,No
Gimesia,Anaerobic,No
Glutamicibacter,Anaerobic,No
Glycomyces,Anaerobic,No
Gordonibacter,Anaerobic,No
Granulicella,Anaerobic,No
Gryllotalpicola,Anaerobic,No
Gulosibacter,Anaerobic,No
Haematomicrobium,Anaerobic,No
Haloferula,Anaerobic,No
Hamadaea,Anaerobic,No
Herbinix,Anaerobic,No
Herpetosiphon,Anaerobic,No
Hoyosella,Anaerobic,No
Huakuichenia,Anaerobic,No
Humibacter,Anaerobic,No
Hungatella,Anaerobic,No
Hydrogenispora,Anaerobic,No
Ilumatobacter,Anaerobic,No
Intestinimonas,Anaerobic,No
Jatrophihabitans,Anaerobic,No
Jiangella,Anaerobic,No
Jonesia,Anaerobic,No
Kribbella,Anaerobic,No
Lachnospira,Anaerobic,No
Lachnospiraceae NK4A136 group,Anaerobic,No
Lachnospiraceae UCG-006,Anaerobic,No
Lachnospiraceae UCG-007,Anaerobic,No
Lachnospiraceae UCG-008,Anaerobic,No
Lachnospiraceae UCG-009,Anaerobic,No
Lachnotalea,Anaerobic,No
Lactonifactor,Anaerobic,No
Lawsonella,Anaerobic,No
Lechevalieria,Anaerobic,No
Leucobacter,Anaerobic,No
Longimicrobium,Anaerobic,No
Longimonas,Anaerobic,No
Luteococcus,Anaerobic,No
Luteolibacter,Anaerobic,No
Lysinimicrobium,Anaerobic,No
Marmoricola,Anaerobic,No
Marvinbryantia,Anaerobic,No
Megamonas,Anaerobic,No
Microlunatus,Anaerobic,No
Micropruina,Anaerobic,No
Miniimonas,Anaerobic,No
Mobilicoccus,Anaerobic,No
Mobilitalea,Anaerobic,No
Modestobacter,Anaerobic,No
Moryella,Anaerobic,No
Mumia,Anaerobic,No
Murimonas,Anaerobic,No
Negativicoccus,Anaerobic,No
Nitriliruptor,Anaerobic,No
Nitrolancea,Anaerobic,No
Ornithinicoccus,Anaerobic,No
Ornithinimicrobium,Anaerobic,No
Oscillibacter,Anaerobic,No
Papillibacter,Anaerobic,No
Paraeggerthella,Anaerobic,No
Phascolarctobacterium,Anaerobic,No
Phycicoccus,Anaerobic,No
Pirellula,Anaerobic,No
Planctomicrobium,Anaerobic,No
Planctopirus,Anaerobic,No
Prauserella,Anaerobic,No
Propionicicella,Anaerobic,No
Prosthecobacter,Anaerobic,No
Pseudactinotalea,Anaerobic,No
Pseudoclavibacter,Anaerobic,No
Pseudopropionibacterium,Anaerobic,No
Quadrisphaera,Anaerobic,No
Rathayibacter,Anaerobic,No
Rhizocola,Anaerobic,No
Rhodopirellula,Anaerobic,No
Robinsoniella,Anaerobic,No
Roseburia,Anaerobic,No
Roseibacillus,Anaerobic,No
Roseimaritima,Anaerobic,No
Roseimicrobium,Anaerobic,No
Ruania,Anaerobic,No
Rubinisphaera,Anaerobic,No
Rubripirellula,Anaerobic,No
Rubrivirga,Anaerobic,No
Ruminococcaceae NK4A214 group,Anaerobic,No
Ruminococcaceae UCG-005,Anaerobic,No
Ruminococcaceae UCG-008,Anaerobic,No
Ruminococcaceae UCG-009,Anaerobic,No
Ruminococcaceae UCG-010,Anaerobic,No
Ruminococcaceae UCG-012,Anaerobic,No
Ruminococcaceae UCG-013,Anaerobic,No
Ruminococcaceae V9D2013 group,Anaerobic,No
Ruminococcus 1,Anaerobic,No
Salana,Anaerobic,No
Sanguibacter,Anaerobic,No
Schlesneria,Anaerobic,No
Sciscionella,Anaerobic,No
Sediminivirga,Anaerobic,No
Segniliparus,Anaerobic,No
Sellimonas,Anaerobic,No
Serinibacter,Anaerobic,No
Singulisphaera,Anaerobic,No
Sinomonas,Anaerobic,No
Slackia,Anaerobic,No
Smaragdicoccus,Anaerobic,No
Sphaerobacter,Anaerobic,No
Subdoligranulum,Anaerobic,No
Terrimicrobium,Anaerobic,No
Tessaracoccus,Anaerobic,No
Tetrasphaera,Anaerobic,No
Timonella,Anaerobic,No
Veillonella,Anaerobic,No
Verrucomicrobium,Anaerobic,No
Vicinamibacter,Anaerobic,No
Zavarzinella,Anaerobic,No
A2,Anaerobic,Unknown
Aliifodinibius,Anaerobic,Unknown
Aquisphaera,Anaerobic,Unknown
Aridibacter,Anaerobic,Unknown
Candidatus Anammoximicrobium,Anaerobic,Unknown
Candidatus Koribacter,Anaerobic,Unknown
Candidatus Soleaferrea,Anaerobic,Unknown
Candidatus Solibacter,Anaerobic,Unknown
Candidatus Udaeobacter,Anaerobic,Unknown
Candidatus Xiphinematobacter,Anaerobic,Unknown
DTU089,Anaerobic,Unknown
Fournierella,Anaerobic,Unknown
GCA-900066225,Anaerobic,Unknown
GCA-900066575,Anaerobic,Unknown
Georgenia,Anaerobic,Unknown
Isosphaera,Anaerobic,Unknown
Luteitalea,Anaerobic,Unknown
Motilibacter,Anaerobic,Unknown
OLB8,Anaerobic,Unknown
Paludibaculum,Anaerobic,Unknown
Paludisphaera,Anaerobic,Unknown
Pseudokineococcus,Anaerobic,Unknown
Pygmaiobacter,Anaerobic,Unknown
Telmatocola,Anaerobic,Unknown
UBA1819,Anaerobic,Unknown
actinobacterium BGR 88,Unknown,Unknown
ADurb.Bin063-1,Unknown,Unknown
Armatimonas,Unknown,Unknown
bacterium Ellin6529,Unknown,Unknown
bacterium Ellin6537,Unknown,Unknown
bacterium Ellin6543,Unknown,Unknown
bacterium WX65,Unknown,Unknown
bacterium YC-ZSS-LKJ159,Unknown,Unknown
bacterium YC-ZSS-LKJ66,Unknown,Unknown
Candidatus Actinomarina,Unknown,Unknown
Candidatus Chloroploca,Unknown,Unknown
Candidatus Entotheonella,Unknown,Unknown
Candidatus Nostocoida,Unknown,Unknown
Candidatus Rokubacteria bacterium CSP1-6,Unknown,Unknown
Candidatus Tremblaya,Unknown,Unknown
CHKCI002,Unknown,Unknown
Chloroflexi bacterium JEA33,Unknown,Unknown
Chloronema,Unknown,Unknown
Chroococcidiopsis SAG 2023,Unknown,Unknown
CL500-29 marine group,Unknown,Unknown
Conexibacter,Unknown,Unknown
CPla-4 termite group,Unknown,Unknown
EcFYyy-200,Unknown,Unknown
Euzebya,Unknown,Unknown
FFCH7168,Unknown,Unknown
Gaiella,Unknown,Unknown
Gaiella sp. EBR4-RS1,Unknown,Unknown
Gloeocapsa PCC-7428,Unknown,Unknown
Iamia,Unknown,Unknown
IheB3-7,Unknown,Unknown
IMCC26207,Unknown,Unknown
Incertae Sedis,Unknown,Unknown
JCM 18997,Unknown,Unknown
JdFR-76,Unknown,Unknown
JGI 0001001-H03,Unknown,Unknown
Kouleothrix,Unknown,Unknown
LD29,Unknown,Unknown
Leptolyngbya ANT.L52.2,Unknown,Unknown
Litorilinea,Unknown,Unknown
Myxosarcina SAG 30.84,Unknown,Unknown
OLB13,Unknown,Unknown
OLB15,Unknown,Unknown
OLB17,Unknown,Unknown
Oscillochloris,Unknown,Unknown
p-1088-a5 gut group,Unknown,Unknown
Parviterribacter,Unknown,Unknown
Patulibacter,Unknown,Unknown
Pir3 lineage,Unknown,Unknown
Pir4 lineage,Unknown,Unknown
Planctomycetaceae bacterium Bac131,Unknown,Unknown
Raoultibacter,Unknown,Unknown
RB41,Unknown,Unknown
Roseiflexus,Unknown,Unknown
Rubrobacter,Unknown,Unknown
SCGC AAA164-E04,Unknown,Unknown
SH-PL14,Unknown,Unknown
Solirubrobacter,Unknown,Unknown
Subgroup 10,Unknown,Unknown
Sva0996 marine group,Unknown,Unknown
Termite planctomycete cluster,Unknown,Unknown
Actinoalloteichus,Aerobic,Yes
Actinokineospora,Aerobic,Yes
Actinomadura,Aerobic,Yes
Actinoplanes,Aerobic,Yes
Actinopolyspora,Aerobic,Yes
Amycolatopsis,Aerobic,Yes
Brevibacterium,Aerobic,Yes
Catellatospora,Aerobic,Yes
Dactylosporangium,Aerobic,Yes
Dietzia,Aerobic,Yes
Geodermatophilus,Aerobic,Yes
Haloactinobacterium,Aerobic,Yes
Kineococcus,Aerobic,Yes
Kineosporia,Aerobic,Yes
Micromonospora,Aerobic,Yes
Nocardioides,Aerobic,Yes
Nocardiopsis,Aerobic,Yes
Pseudonocardia,Aerobic,Yes
Saccharopolyspora,Aerobic,Yes
Saccharothrix,Aerobic,Yes
Skermania,Aerobic,Yes
Streptomyces,Aerobic,Yes
Tomitella,Aerobic,Yes
Tsukamurella,Aerobic,Yes
Williamsia,Aerobic,Yes
Acidipropionibacterium,Anaerobic,Yes
Acidothermus,Anaerobic,Yes
Actinoallomurus,Anaerobic,Yes
Actinocatenispora,Anaerobic,Yes
Actinomycetospora,Anaerobic,Yes
Actinopolymorpha,Anaerobic,Yes
Actinospica,Anaerobic,Yes
Anaerobium,Anaerobic,Yes
Anaerofilum,Anaerobic,Yes
Anaerosporobacter,Anaerobic,Yes
Anaerotruncus,Anaerobic,Yes
Cryptosporangium,Anaerobic,Yes
Desulfotomaculum,Anaerobic,Yes
Haloactinopolyspora,Anaerobic,Yes
Haloactinospora,Anaerobic,Yes
Hydrogenoanaerobacterium,Anaerobic,Yes
Kibdelosporangium,Anaerobic,Yes
Lachnoclostridium,Anaerobic,Yes
Lachnoclostridium 10,Anaerobic,Yes
Lachnoclostridium 12,Anaerobic,Yes
Lachnoclostridium 5,Anaerobic,Yes
Longispora,Anaerobic,Yes
Nonomuraea,Anaerobic,Yes
Peptococcus,Anaerobic,Yes
Propioniciclava,Anaerobic,Yes
Ruminiclostridium,Anaerobic,Yes
Ruminiclostridium 1,Anaerobic,Yes
Ruminiclostridium 5,Anaerobic,Yes
Ruminiclostridium 9,Anaerobic,Yes
Sphaerisporangium,Anaerobic,Yes
Sporichthya,Anaerobic,Yes
Sporomusa,Anaerobic,Yes
Stackebrandtia,Anaerobic,Yes
Streptosporangium,Anaerobic,Yes
Thermocatellispora,Anaerobic,Yes
Tumebacillus,Anaerobic,Yes
Tyzzerella 4,Anaerobic,Yes
Virgisporangium,Anaerobic,Yes
3PJM14, Unknown,
Aquitalea, Unknown,
AT-s3-44, Unknown,
Bacterium enrichment culture clone auto112_4W, Unknown,
Belnapia, Unknown,
BIyi10, Unknown,
C1-B045, Unknown,
C39, Unknown,
Candidatus Alysiosphaera, Unknown,
Candidatus Bealeia, Unknown,
Candidatus Finniella, Unknown,
Candidatus Jidaibacter, Unknown,
Candidatus Kinetoplastibacterium, Unknown,
Candidatus Paracaedibacter, Unknown,
Candidatus Rosenkranzia, Unknown,
Chujaibacter, Unknown,
Dongia, Unknown,
Endobacter, Unknown,
Endosymbionts6, Unknown,
Eoetvoesia, Unknown,
GKS98 freshwater group, Unknown,
Inhella, Unknown,
IS-44, Unknown,
Luteimonas, Unknown,
MD3-55, Unknown,
Minicystis, Unknown,
Mizugakiibacter, Unknown,
MLE1-7, Unknown,
MND1, Unknown,
Muricoccus, Unknown,
Nannocystis, Unknown,
Oligella, Unknown,
Orbus, Unknown,
Paenalcaligenes, Unknown,
Parapusillimonas, Unknown,
Pelagibius, Unknown,
Peredibacter, Unknown,
Phaselicystis, Unknown,
Phenylobacterium, Unknown,
PMMR1, Unknown,
Pragia, Unknown,
Pseudenhygromyxa, Unknown,
Pseudofulvimonas, Unknown,
Pusillimonas, Unknown,
Reyranella, Unknown,
Rhodovarius, Unknown,
Rubritepida, Unknown,
Rudaea, Unknown,
Skermanella, Unknown,
Sva0081 sediment group, Unknown,
SZB85, Unknown,
Tagaea, Unknown,
Uruburuella, Unknown,
Verticia, Unknown,
Vulcaniibacterium, Unknown,
Vulgatibacter, Unknown,
Planctomycetales bacterium Ellin6207,Likely Aerobic,
Tepidisphaera,Likely Aerobic,
Candidatus Arthromitus,Likely Anaerobic,
Candidatus Dichloromethanomonas,Likely Anaerobic,
AKYG587,Unclear,
CL500-3,Unclear,
SM1A02,Unclear,
Urania-1B-19 marine sediment group,Unclear,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
